display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Rene Jordan,El Nuevo Herald (Miami),"The music is catchy, the choreography, tumultuous, and it is not advised to take up an attitude before this brief 88 minutes of revelry.   [Full review in Spanish]",|,"Aug 10, 2022"
Richard Propes,TheIndependentCritic.com,"While the singing at times leaves something to be desired, with the exception of the buoyant and magnetic Mauboy, tis' the tunes and the infectious spirit that are the point.","| Original Score: 3.0/4.0
                
                |","Sep 4, 2020"
Laura Hiros,Rincón de cine,It can't avoid the comparison to Little Miss Sunshine... [Full review in Spanish],"| Original Score: 2/5
                
                |","Mar 16, 2018"
Roger Moore,Movie Nation,Cute and deliciously off-kilter.,"| Original Score: 3/4
                
                |","Feb 1, 2013"
James Plath,Movie Metropolis,"The quirkiest musical I've ever seen, and despite its flaws I enjoyed it.","| Original Score: 6/10
                
                |","Dec 29, 2011"
Katina Vangopoulos,Moviedex,It's a Bran Nue Dae for Australian comedy. Enjoyable and satirical; a pleasant surprise.,"| Original Score: 3.5/5
                
                |","Oct 29, 2010"
Simon Miraudo,Quickflix,Bran Nue Dae is so spectacularly cheerful and effervescent it has successfully wrestled my practical criticisms and deemed them irrelevant.,"| Original Score: 4/5
                
                |","Oct 21, 2010"
Steve Persall,Tampa Bay Times,"Out of left field and Down Under comes Rachel Perkins' musical to surprise viewers, as if a stranger burst into a well-orchestrated song in conversation.","| Original Score: B
                
                |","Sep 30, 2010"
Sean O'Connell,Charlotte Weekly,"Comes off as ""Moulin Rouge"" at half speed, which is more of a compliment than you might imagine.","| Original Score: 3/4
                
                |","Sep 24, 2010"
Jennie Punter,Globe and Mail,"The film is uneven but in a kind of sweet, earnest way.","| Original Score: 2/4
                
                |","Sep 24, 2010"
Peter Howell,Toronto Star,"You have to wonder about the film's almost complete portrayal of Aborigines as dim-witted dunderers, dancing fools, thieves and drunks. Whites fare no better. Does the film explode stereotypes, or reinforce them?","| Original Score: 2/4
                
                |","Sep 24, 2010"
Sarah Boslaugh,Playback:stl,"Instead of being a fount of melody, this film is more of a song desert with exactly one memorable song...","| Original Score: 3/10
                
                |","Sep 24, 2010"
Ted Fry,Seattle Times,The bright colors and vibrant backgrounds ... go a long way in distracting from shortcomings in the story and style of this offhand hybrid.,"| Original Score: 2.5/4
                
                |","Sep 23, 2010"
Justin Strout,Orlando Weekly,"Reportedly a popular musical in Australia, though it's difficult to imagine why, Bran Nue Dae is a film adaptation that barely qualifies as either a film or a musical.","| Original Score: 1/5
                
                |","Sep 23, 2010"
Richard Nilsen,Arizona Republic,Bran Nue Dae is an infectiously joyful Australian Aboriginal musical.,"| Original Score: 4/5
                
                |","Sep 23, 2010"
Ken Hanke,"Mountain Xpress (Asheville, NC)","It's not everyday you see an 'all-talking, all-singing, all-dancing'Aboriginal musical that also boasts Geoffrey Rush as a scenery-chewing priest with a dodgy German accent.","| Original Score: 3.5/5
                
                |","Sep 23, 2010"
Christopher Lloyd,Sarasota Herald-Tribune,"Bran Nue Dae is a kooky, deliriously happy mix of happenstance and broadly-drawn characters who are apt to break into song at any given moment. It's not quite enough for me to recommend, but I'm not unhappy to have seen it.","| Original Score: 3.5/5
                
                |","Sep 22, 2010"
Rene Rodriguez,Miami Herald,"Soon, whenever someone launches into a song, you roll your eyes and hope the tune is a short one.","| Original Score: 2/4
                
                |","Sep 22, 2010"
Brian Orndorf,BrianOrndorf.com,"A difficult sit for anyone unable to tune into the film's dedication to bootleg turns of plot and characterization, with the whole endeavor starting to feel like a dental drill after the first act.","| Original Score: D+
                
                |","Sep 22, 2010"
Kelly Vance,East Bay Express,"It's a bit corny and reminiscent of Baz Luhrmann or Julie Taymor's pop fantasies, but we can forgive her.",|,"Sep 20, 2010"
Frank Wilkins,ReelTalk Movie Reviews,Doesn't hit on all cylinders but features some great original ideas and a bunch of catchy song and dance numbers sure to delight audiences of all ages.,|,"Sep 19, 2010"
Nora Lee Mandel,Film-Forward.com,"Delightful musical trip of a teenage Aborigine through 1960's Australian outback with wonderful rocking mix of song genres, let alone hippies, to feel like Hair.","| Original Score: 8/10
                
                |","Sep 13, 2010"
Peter Rainer,Christian Science Monitor,Geoffrey Rush chews so much scenery that he looks ready to burst.,"| Original Score: C-
                
                |","Sep 13, 2010"
William Goss,Cinematical,"The songs aren't exactly the catchiest, its message of tolerance far from new, but it sure is lively while it lasts.",|,"Sep 13, 2010"
Adam Keleman,Slant Magazine,"Trite, silly, and grating are all apt words to describe the cinematic buffoonery of Rachel Perkin's Bran Nue Dae, a flimsy excuse for a nostalgic musical that shoots for playful satire but ultimately proves staggeringly impotent.","| Original Score: 1/4
                
                |","Sep 13, 2010"
James Verniere,Boston Herald,"G'day, mate. Can you say ""Aboriginal Slumdog Millionaire""?","| Original Score: B-
                
                |","Sep 12, 2010"
Steve Ramos,Boxoffice Magazine,"While well known to many Down-Under fans, Bran Nue Dae has too much comic kitsch for U.S. specialty film audiences.","| Original Score: 2/5
                
                |","Sep 10, 2010"
Tricia Olszewski,Washington City Paper,You'll either be charmed by the caricature or think it more suitable for Looney Tunes.,|,"Sep 10, 2010"
Patrick Friel,Chicago Reader,This Australian musical-comedy seems like a project for which everyone involved had ideas but no one had veto power.,|,"Sep 10, 2010"
Fr. Chris Carpenter,Movie Dearest,"Generally enjoyable but not very significant...still (as far as Australian movie musicals go) a substantial improvement over ""The Pirate Movie""!","| Original Score: B-
                
                |","Sep 10, 2010"
Michael O'Sullivan,Washington Post,"The story sails by, mostly unimpeded, toward its feel-good conclusion and is likely to be forgotten even before the final credits have faded from the screen.","| Original Score: 1.5/4
                
                |","Sep 10, 2010"
Lou Lumenick,New York Post,A cheerful and proudly corny musical that's pretty hard to resist if you're in the right frame of mind.,"Full Review
                
                
                    | Original Score: 3/4
                
                |","Sep 10, 2010"
Cary Darling,Dallas Morning News,"When Australian Aborigines appear on the big screen, it's rare to see them as fully fleshed-out contemporary human beings. That's where this lightweight and enjoyable, if frustratingly uneven, comedy-musical makes its biggest contribution.","Full Review
                
                
                    | Original Score: 3/5
                
                |","Sep 10, 2010"
G. Allen Johnson,San Francisco Chronicle,"A sunny, colorful Australian Aborigine musical sounds like a good idea, but Bran Nue Dae is a very slightly plotted, over-the-top film with hammy acting suitable for an old Benny Hill episode.","| Original Score: 2/4
                
                |","Sep 10, 2010"
Stephen Holden,New York Times,"The singsongy score is a mostly forgettable potpourri of folk, reggae, country and gospel poorly lip-synced by cast members whose uneven vocal chops underscore the ingenuousness of characters like the virginal Willie.","Full Review
                
                
                    | Original Score: 2.5/5
                
                |","Sep 10, 2010"
Betsy Sharkey,Los Angeles Times,"It's almost impossible not to be swept up by the exuberant fun of this singing, dancing, irony-laced ode to the repression, reeducation and resistance of Australia's indigenous tribal peoples circa 1969.","| Original Score: 4/5
                
                |","Sep 10, 2010"
Avi Offer,NYC Movie Guru,"An invigorating, campy and high-spirited journey well worth taking. It's one of the most delightful, heartfelt and crowd-pleasing musical comedies in years.","| Original Score: 7.696/10
                
                |","Sep 10, 2010"
Frank Swietek,One Guy's Opinion,"Winds up seeming like a high school musical--not the Disney one, but the sort you're likely to encounter in any small town.","| Original Score: C-
                
                |","Sep 9, 2010"
Carrie Rickey,Philadelphia Inquirer,"Though the film seems to be cobbled together from saints-and-sinners tropes that were rusty in Victorian times, its high spirits are infectious.","| Original Score: 2.5/4
                
                |","Sep 9, 2010"
