display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Don Shanahan,Every Movie Has a Lesson,"Just as the dictionary definition of ""spectacle"" states, the blockbuster is unusual, notable, and entertaining in an eye-catching, dramatic, and very public way.  It is big, loud, and dumb, but, hot damn, it sure is fun.","| Original Score: 4/5
                
                |","Sep 4, 2023"
Sean Axmaker,Stream on Demand,"... a lot of fun, part mindless two-hour theme park ride, part self-aware sequel where supposedly smart people make a cascade of bad decisions.",|,"Aug 20, 2023"
Benjamín Harguindey,EscribiendoCine,"Jurassic World lacks heart because everything happens on the same level of fast-paced, forgettable entertainment. [Full review in Spanish]","| Original Score: 7/10
                
                |","Feb 28, 2023"
Keith Garlington,Keith & the Movies,"The visual spectacle, the dinosaur fights, the theme park environment all work to immerse you in a really cool setting. It’s too bad the underwhelming story, narrative hiccups, and bland characters drag it down to passable but forgettable levels.","| Original Score: 3/5
                
                |","Aug 22, 2022"
Brian Eggert,Deep Focus Review,"It’s sharp, well-made, knowing entertainment that’s also the first sequel worthy of the original masterpiece.","| Original Score: 3.5/4
                
                |","Jun 9, 2022"
Alan French,Sunshine State Cineplex,"The action-adventure comedy still has its fair share of missteps, but in the context of the Jurassic Park saga, it remains one of the few popcorn films to deliver on its blockbuster promise.","| Original Score: 7/10
                
                |","Jun 7, 2022"
Cory Woodroof,Williamson Home Page,"As far as Jurassic movies go, this isn't Jurassic Park, but it never had to be. The film is a reverent, effective follow-up to a classic. That, folks, is what we call no small feat.",|,"Feb 11, 2022"
Anne Brodie,AWFJ.org,"Jurassic World is the way to go - the nostalgia factor, new CGI and a nature defying gamble. Chris Pratt is charm on wheels and I'm rooting for Bryce Dallas Howard who has been away too long.",|,"Oct 4, 2021"
Hosea Rupprecht,Pauline Center for Media Studies,"As I watched the really neat digital dinos chase people around, the scenes that resonated most with me were the ones that took place in the park's laboratory.",|,"Sep 13, 2021"
Nick Levine,NME (New Musical Express),This is the first sequel to do the original Jurassic Park movie any real justice...,"| Original Score: 4/5
                
                |","Jun 4, 2021"
Nikki Baughan,AWFJ.org,"Stepping into the lead is man-of-the-moment Chris Pratt, fresh from his Guardians of the Galaxy success, and he is joined by the substantial talent of Bryce Dallas Howard...",|,"Apr 22, 2021"
Mike Massie,Gone With The Twins,"Several sequences of dinosaur carnage are expertly crafted and thoroughly entertaining, even if they're repetitive of previous entries in the franchise.","| Original Score: 6/10
                
                |","Dec 4, 2020"
Richard Propes,TheIndependentCritic.com,"It's easily the best of the sequels, but it certainly falls short of the original's sense of surprise and spontaneity that marked the original.","| Original Score: 3.0/4.0
                
                |","Sep 13, 2020"
Kelechi Ehenulo,Confessions From A Geek Mind,"Whilst it will never touch the greatness of the original and shamelessly predictable, Jurassic World is a positive entry in the franchise.","| Original Score: 3/5
                
                |","Jul 17, 2020"
Allen Almachar,The MacGuffin,"If you squint really hard, you might find this to be good old dumb fun. But honestly, how long can you do that before getting a headache?","| Original Score: C+
                
                |","Jul 15, 2020"
Brent McKnight,The Last Thing I See,"Clumsy, full of flat, dead-eyed characters, and is an obvious cash grab. But somehow none of that matters when there are rampaging dinosaurs on screen.","| Original Score: B-
                
                |","Jul 5, 2020"
Damond Fudge,"KCCI (Des Moines, IA)","Overall, Jurassic World delivers. It's everything you probably want or expect from a summer blockbuster sequel. It's still scary when it needs to be, funny when it tries and a worthy continuation of the story.",|,"Jul 1, 2020"
Matthew Rozsa,Good Men Project,"Yes, I said it. ""Jurassic World"" SUCKED! What the hell was I missing?","| Original Score: 2/4
                
                |","Jun 11, 2020"
Sergio Benítez,Espinof,"The production flirted dangerously with the ""video game phase"" syndrome that had done so much damage to the previous two installments of the franchise. [Full Review in Spanish]",|,"May 7, 2020"
Alberto Abuín,Espinof,Once again MacDonald's cinema at our service: fast consumption and instant forgetfulness. [Full Review in Spanish],|,"Apr 28, 2020"
Avaryl Halley,Movie Bitches,"It was very cynical, which bummed me out.",|,"Apr 28, 2020"
Andrew Galdi,Movie Bitches,This movie should not exist.,|,"Apr 28, 2020"
Tim Brennan,About Boulder,"It doesn't help that the screenplay, credited to four writers, repeatedly veers into the idiotic.",|,"Feb 13, 2020"
Chris McCoy,Memphis Flyer,"Jurassic World is not a misfire, just a pale reflection of Jurassic Park... But I had fun rooting for the dinosaurs anyway.",|,"Jan 10, 2020"
David Harris,Spectrum Culture,Jurassic World doesn't even come close.,"| Original Score: 1.75/5
                
                |","Dec 3, 2019"
Joey Keogh,Wicked Horror,"An accomplished sequel, and a delightful stand-alone picture in its own right, at its core, Jurassic World is cheesy, dumb, balls-to-the-wall crazy fun.","| Original Score: 8/10
                
                |","Sep 26, 2019"
Karl Delossantos,Smash Cut Reviews,"Despite my view of the film as a satire, there are a few storylines that bogged down an otherwise quick fire film.",|,"Aug 8, 2019"
Leslie Combemale,Cinema Siren,There are still enough moments of excitement and wonder to inspire audiences to take the dino-bait and commit to seeing Jurassic World through to the end.,"| Original Score: 3/5
                
                |","Aug 5, 2019"
Ryan Syrek,"The Reader (Omaha, NE)","Jurassic World is terrific spectacle paced perfectly and infused with more humor than any previous installment of the series. It is grownups playing with dinosaur toys, and if you did that as a kid, you'll leave with a big, dumb grin on your face.","| Original Score: B+
                
                |","Jul 30, 2019"
Mattie Lucas,"The Dispatch (Lexington, NC)",A welcome return to form for a beloved franchise that delivers the goods for a whole new generation.,"| Original Score: 3/4
                
                |","Jul 5, 2019"
Daniel Orton,One Room With A View,Jurassic World possesses what this series has lacked since Jurassic Park: heart.,"| Original Score: 4/5
                
                |","May 8, 2019"
Rachel Wagner,rachelsreviews.net,This whole plotline even for a stupid popcorn movie was so ridiculous,"| Original Score: C
                
                |","Apr 26, 2019"
Ruth Maramis,FlixChatter Film Blog,"Jurassic World is nothing more than popcorn cinema and no less disposable as the nameless extras gobbled up by Indominous Rex. I suppose if you expect a ton of dino-chomping action and chase scenes, then you probably enjoy this movie.","| Original Score: 3/5
                
                |","Mar 5, 2019"
David Ocadiz,Cinergética,"With spectacular action scenes and great directing from Colin Trevorrow, Jurassic World is a film that you can't miss. [Full Review in Spanish]",|,"Feb 15, 2019"
Ed Travis,Cinapse,Colin Trevorrow proved more than up to the task of creating what is easily the second best Jurassic film.,|,"Feb 3, 2019"
Nathalia Aryani,San Diego Entertainer,"While no sequel can capture the magic of the original, an instant classic, there is a plethora of edge-of-your-seat, prehistoric wonders in Jurassic World.",|,"Jan 23, 2019"
Micheal Compton,Bowling Green Daily News,"When the dinosaurs take center stage, Jurassic World really kicks into gear -- enough to overlook all the distractions to get to that point.","| Original Score: B-
                
                |","Jan 23, 2019"
Amanda Greever,The Daily Times (Tennessee),"Jurassic World doesn't have the same beauty - and overwhelming awesomeness - of the original, but it offers a hint of something we loved many years ago and still adore.",|,"Jan 10, 2019"
Abbie Bernstein,Assignment X,"For those who see the glory in these dinos, they're worth putting up with a lot, including the rest of the movie that surrounds them.","| Original Score: B-
                
                |","Dec 18, 2018"
Zaki Hasan,Zaki's Corner,Effectively turns the lights back on for the mothballed franchise while also setting a sturdy foundation for any future such expeditions.,"| Original Score: B-
                
                |","Nov 4, 2018"
Debbie Baldwin,Ladue News,"I had a bit of trouble keeping my eyes on the screen because I was rolling them, but the acting is good, the suspense is white-knuckle and the pace is breakneck.","| Original Score: 6/10
                
                |","Nov 2, 2018"
Jennifer Heaton,Alternative Lens,"Ultimately, the film doesn't have anything new to say about the series on a thematic level that hasn't already been hammered into our head.","| Original Score: 7/10
                
                |","Nov 1, 2018"
Johnny Gayzmonic,Fanboys of the Universe,"Instead of responding with a tremendous roar of confidence, the response is a mighty yawn of 'Eh, I don't know. Dinosaurs, man.'","| Original Score: 5/10
                
                |","Oct 31, 2018"
Aaron Peterson,The Hollywood Outsider,"If you are looking for a rambunctiously exciting trip to the theater with the family in tow, Jurassic World is the theme park ride of the summer.","| Original Score: 7/10
                
                |","Oct 24, 2018"
Nguyên Lê,The Script Lab,"To realize that [Jurassic Park] has humans interacting with dinosaurs and [this] is all about the creatures, one can't help feeling rather incomplete despite being constantly entertained.",|,"Oct 10, 2018"
Rubén Rosario,MiamiArtZine,Trevorrow is too busy making a point about theme park culture and movie sequels to make us feel the slightest bit of suspense.,|,"Aug 22, 2018"
Danielle Solzman,Solzy at the Movies,"Upon further review, Jurassic World is just as awesome and nostalgic as it was when the film first graced the big screens in 2015.",|,"Jun 18, 2018"
William Evans,Black Nerd Problems,"Everything else, and I mean, damn near everything in Jurassic World that works to any effect has been done before. But better. And when it was original.",|,"Jun 13, 2018"
Mark Graham,Decider,Romantic leads [Pratt and Dallas Howard] are...charisma-free... but that doesn't mean there aren't some worthy moments: the Indominus Rex getting straight up savage on a group of overmatched mercenaries in the jungle.,|,"Jun 7, 2018"
Oggs Cruz,Rappler,"Sadly, Trevorrow's ambitious set-up is betrayed by a filmmaking style that blatantly lacks personality.",|,"Apr 23, 2018"
Megan Basham,WORLD,"Summer moviegoers cannot live by superheroes alone, and darn if the entire time my grown-up, film critic head was saying, This is so stupid, some little-kid corner of my heart wasn't crowing, and yet so awesome.",|,"Mar 16, 2018"
Andre Meadows,Black Nerd Comedy,"Jurassic World is fun if you don't compare it to the original, if you look at it as a standard monster movie and if you can get through the first thirty minutes of it. If you can do that, definitely go see it.",|,"Mar 2, 2018"
